# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠋⠷⠖⠴⠾⠠ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mn>64</mn><mo>)</mo><mo>&prime;</mo></mrow></math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>A</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></math>
✗ | ⠏⠷⠆⠾⠠ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>P</mi><mo>(</mo><mn>2</mn><mo>)</mo><mo>&prime;</mo></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠰⠭⠸⠲ | <math><mrow><mi>x</mi><mtext>.</mtext></mrow></math> | <math><mrow><msup><mi>x</mi><mo>&prime;</mo></msup></mrow></math>
✗ | ⠼⠆⠨⠢ | <math><mn>2.5</mn></math> | <math><mrow><mn>2.0</mn></mrow></math>
✗ | ⠤⠹⠂⠌⠜⠒⠻⠼ | <math><mrow><mo>−</mo><mfrac><mn>1</mn><msqrt><mn>3</mn></msqrt></mfrac></mrow></math> | <math><mrow><mfrac><mrow><mo>&minus;</mo><mn>91</mn></mrow><mrow><msqrt><mn>2</mn></msqrt></mrow></mfrac></mrow></math>
✗ | ⠎⠊⠝⠘⠆⠀⠷⠨⠹⠾⠸⠲ | <math><mrow><msup><mi>sin</mi><mn>2</mn></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><msup><mi>sin</mi><mn>2</mn></msup><mo>(</mo><mi>&theta;</mi><mo>)</mo></mrow></math>
✗ | ⠼⠂⠸⠲ | <math><mrow><mn>1</mn><mtext>.</mtext></mrow></math> | <math><mrow><mn>1</mn></mrow></math>
✗ | ⠎⠑⠉⠀⠷⠹⠒⠨⠏⠌⠲⠼⠾ | <math><mrow><mi>sec</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>4</mn></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow></math> | <math><mrow><mi>sec</mi><mo>(</mo><mfrac><mrow><mn>93</mn><mi>&pi;</mi></mrow><mrow><mn>4</mn></mrow></mfrac><mo>)</mo></mrow></math>
✗ | ⠈⠷⠴⠠⠀⠨⠏⠈⠾⠸⠲ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mi>π</mi><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mn>4.</mn><mo>)</mo><mo>(</mo><mi>P</mi><mo>.</mo><mo>)</mo></mrow></math>
✓ | ⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠀⠷⠽⠾ | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo>(</mo><mi>y</mi><mo>)</mo></mrow></math>
✗ | ⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠀⠷⠽⠾⠸⠲ | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo>(</mo><mi>y</mi><mo>)</mo></mrow></math>
✗ | ⠁⠗⠉⠉⠕⠎⠀⠷⠹⠂⠌⠆⠼⠾ | <math><mrow><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>arccos</mi><mo>(</mo><mfrac><mrow><mn>91</mn></mrow><mrow><mn>2</mn></mrow></mfrac><mo>)</mo></mrow></math>
