# Example files (used in generateExamples):
# example_braille_file = RustTestData/UEB.brls
# example_mathml_file = RustTestData/UEB.mmls
#
# Input files:
# input_braille_file = test_data/UEB
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = UEB
# gen_braille = True
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in UEB braille. The user will provide a python list of strings, where each string is composed of represents math encoded in MathML (e.g., <math><mi>f</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>). Your task is to translate each MathML expression into valid UEB braille using only Unicode braille characters. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., '⠋⠷⠹⠂⠌⠆⠼⠾')It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate grade 1 indicators ⠰, grade 1 word indicators ⠰⠰, and grade 1 passage indicators ⠰⠰⠰ when appropriate. These are very common at the start of the translation.Do not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 300 items. Usage info: prompt=25358, candidates=15377, total=158959, time=86263ms, TPS=5609.871886583859.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜ | ⠰⠋⠷⠰⠭⠾
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠋⠐⠣⠼⠋⠚⠐⠜⠂⠀ | ⠰⠋⠷⠼⠋⠚⠾⠂
✗ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | ⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | ⠠⠁⠷⠰⠭⠾⠀⠨⠅⠀⠳⠰⠭⠳⠲
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠏⠐⠣⠼⠃⠐⠜⠂⠀ | ⠰⠏⠷⠼⠃⠾⠂
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠰⠽⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠲ | ⠰⠽⠀⠨⠅⠀⠰⠏⠷⠰⠭⠾⠲
✓ | <math><mrow><mi>x</mi><mtext>.</mtext></mrow></math> | ⠰⠭⠲ | ⠰⠭⠲
✗ | <math><mn>2.5</mn></math> | ⠼⠃⠲⠑ | ⠼⠃⠲⠢
✗ | <math><mrow><mo>−</mo><mfrac><mn>1</mn><msqrt><mn>3</mn></msqrt></mfrac></mrow></math> | ⠐⠤⠰⠷⠼⠁⠨⠌⠩⠼⠉⠬⠾ | ⠤⠹⠂⠌⠜⠒⠣⠼
✗ | <math><mrow><msup><mi>sin</mi><mn>2</mn></msup><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠎⠔⠰⠔⠼⠃⠐⠣⠨⠹⠐⠜⠲ | ⠎⠊⠝⠘⠆⠷⠨⠹⠾⠲
✓ | <math><mrow><mn>1</mn><mtext>.</mtext></mrow></math> | ⠼⠁⠲ | ⠼⠁⠲
✗ | <math><mrow><mi>sec</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>4</mn></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow></mrow></math> | ⠰⠰⠎⠑⠉⠐⠣⠷⠼⠉⠨⠏⠨⠌⠼⠙⠾⠐⠜ | ⠎⠑⠉⠷⠹⠒⠨⠏⠌⠲⠼⠾
